,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,release_month,day_of_release
1109,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05,USA2P2135437,1104,45.4,912709169,94302,33979642,67.0,410395727,3097097,75146,"30,651,870",303742856,265630925,69,36857,265,18,995698,35,26070209,7871,,1218835,1,10,Tuesday
1110,BABY HELLO,BABY HELLO - Single,Rauw Alejandro,2023-06-23,USSD12300274,1105,45.3,268383799,47936,46787442,68.0,69047745,591951,23400,"9,362,518",103169265,21328855,61,39321,6,37,817012,36,3542840,631,,933823,1,6,Friday
1111,ONE CALL,ONE CALL,Rich Amiri,2023-11-03,QZJ842004052,1106,45.2,271566931,33970,50694559,80.0,24725245,376377,,"1,459,319",8704294,9242912,15,824,75,14,1420429,25,259065,1200,,817705,1,11,Friday
1112,Pehle Bhi Main,ANIMAL,Vishal Mishra,2023-11-24,INS182303389,1111,45.2,235472222,10873,14151452,77.0,134079122,998592,,,,299391668,14,480,,,,,,,,300188,0,11,Friday
1113,Kill Bill,Kill Bill - Single,pasa michaelson,2023-08-26,GB8KE2318565,1156,45.2,1842758768,1,1,,,,,,,,,,,,,,,,,,1,8,Saturday
1114,2/Catorce,2/Catorce,Rauw Alejandro,2021-02-14,USSD12100059,1107,45.2,534981600,92466,17067105,64.0,607206864,3535828,833539,"233,010,597",2285726710,149174449,74,9184,,13,245959,32,41372873,8091,,1847960,1,2,Sunday
1115,Ride,Ride,Twenty One Pilots,2015-05-12,USAT21500598,1110,45.2,1724766252,240346,62583866,79.0,1832805733,14628417,473867,"64,556,528",515516585,186902563,7,156588,225,63,409611,33,,,,,0,5,Tuesday
1116,Dusk Till Dawn (feat. Sia),Dusk Till Dawn (feat. Sia) - Single,ZAYN,2017-09-08,USRC11701783,1108,45.2,7660758,2412,584352,36.0,2384906510,17393433,1352318,"224,835,071",2577621675,1411686500,,51698,2,,,5,,,,,0,9,Friday
1117,Rush,Rush,Troye Sivan,2023-07-13,AUUM72300170,1109,45.2,299291405,45754,35127971,28.0,59684881,1156874,37300,"31,430,262",341762321,635932163,106,22607,649,65,1709032,66,741956,1616,,1347624,1,7,Thursday
1118,Physical,Physical,Dua Lipa,2020-01-30,GBAHT1901298,1115,45.1,967029446,108666,29267130,71.0,570687048,4489378,159047,"39,077,139",430832681,412519641,231,334802,67,172,2365006,57,40101832,10420,,5988911,0,1,Thursday
1119,Pumped Up Kicks,Pumped up Kicks,Foster The People,2010-01-01,USSM11002931,1113,45.1,1791778314,344490,131726745,81.0,599930123,5713061,786192,"342,804,034",2757623631,19949320,195,121067,167,148,1029351,46,777542552,1767555,,16415660,0,1,Friday
1120,Yes Indeed,Yes Indeed,Lil Baby,2018-05-15,USUM71806749,1112,45.1,1110994645,186456,41273853,74.0,143629586,1388832,38775,"25,188,899",194904663,38496063,85,67860,186,16,35032,44,425125110,171069,54088502,3561319,1,5,Tuesday
1121,Open Arms (feat. Travis Scott),SOS,SZA,2022-12-08,USRC12204602,1114,45.1,418181065,67858,17377077,76.0,87097570,675742,79800,"21,397,764",155757311,3034510,14,374,,17,190364,2,4424141,8503,7784284,1272704,0,12,Thursday
1122,edamame (feat. Rich Brian),edamame,bbno$,2021-07-24,QMUY42100151,1117,45.0,460770585,137449,12880333,9.0,129095680,2000723,697200,"509,554,628",5783885492,165344404,24,98034,1191,,,12,2857509,9193,,5556466,1,7,Saturday
1123,Turn Down for What,Turn Down for What,DJ Snake,2013-12-18,USSM11308174,1116,45.0,547207250,103666,30719577,65.0,1350062601,11897425,962796,"124,466,320",1943093911,194386199,135,23064,113,53,264794,55,411609954,1482573,1150036,14799660,0,12,Wednesday
1124,Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,USUM72308543,1120,44.9,234350961,56138,13361149,69.0,60645740,770219,,,,82193348,59,29888,59,13,56586,35,6384645,3482,,1068077,0,6,Friday
1125,Smokin Out The Window,Smokin Out The Window,Bruno Mars,2021-11-05,USAT22105952,1121,44.9,463977298,100305,15798103,66.0,219573887,2918828,946,"4,609,516",26701713,3233086776,81,188300,388,38,1242910,46,39063749,21956,,1849092,0,11,Friday
1126,Goin' Off,Goin' Off,Karan Aujla,2024-05-09,AUBEC2438653,1118,44.9,13606839,836,4594419,70.0,32342705,498580,,,,19904542,14,59,,,,13,,,,33780,0,5,Thursday
1127,Close To You,Close To You,Gracie Abrams,2024-06-07,USUG12401775,1119,44.9,13700065,1162,89144538,74.0,466102,38791,,,,,69,147,,16,683316,86,39776,59,18,69456,0,6,Friday
1128,Pagli Dekhave Agarbatti,Pagli Dekhave Agarbatti,Neelkamal Singh,2023-09-28,INH102313673,1124,44.8,20981562,379,284348,,272841611,1275934,,,,182061559,,,,,,,,,,,0,9,Thursday
1129,From The D To The A (feat. Lil Yachty),From The D To The A (feat. Lil Yachty),Tee Grizzley,2017-03-17,QMCE31700982,1122,44.8,364325529,83638,10924243,64.0,29708407,206341,42311,"2,417,700",16341869,3111436,15,109,,2,468,,131664821,48173,222229993,891593,1,3,Friday
1130,Me Rehï¿½ï,Los Nï¿½ï¿½meros 1 De Los 40 (Music Inspires L,Danny Ocean,2017-11-03,USWL11900076,1126,44.8,1778934858,37040,21117726,74.0,1915123572,6102709,261323,"17,109,874",158762431,484024351,12,165,,9,21285,10,66752966,47350,,6246243,0,11,Friday
1131,Nonsense,emails i can't send,Sabrina Carpenter,2022-07-15,USUM72210708,1129,44.8,817286460,55620,61610668,83.0,156580179,1685462,179864,"36,883,907",357890160,201230072,67,108203,1122,20,787687,44,33407481,8860,,1180048,0,7,Friday
1132,Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,2021-04-02,USSM12101540,1127,44.8,392745531,141221,21996686,67.0,96203913,1246093,44979,"17,567,842",137477748,54251921,21,1558,3,8,131260,2,10758226,10750,39475086,1432080,1,4,Friday
1133,Lose You To Love Me,Lose You To Love Me,Selena Gomez,2019-10-23,USUM71918727,1123,44.8,1222228366,109325,48327775,72.0,569150755,10176233,210846,"55,268,559",519924812,832957854,174,220765,169,66,1080455,84,191725976,77455,959144,3669533,0,10,Wednesday
1134,Worth It,Worth It,YK Osiris,2019-02-08,USUM71821752,1125,44.8,340112388,66487,6617103,60.0,283340446,3313053,576099,"18,279,931",132694197,41301726,28,11151,32,5,7457,2,171927306,162394,103378626,1660493,0,2,Friday
1135,Fight The Feeling,Fight The Feeling,Rod Wave,2023-03-31,USQX92301922,1128,44.8,86327319,18112,2247123,51.0,65828097,457580,179400,"15,991,452",137960911,377095739,18,100880,1989,8,929184,10,34839558,18952,12848106,567245,1,3,Friday
1136,Axel F,Best of Crazy Hits,Crazy Frog,2009-12-11,DEAF71578230,1134,44.7,178536020,870,142649,30.0,5049428366,20305999,,,,204191511,1,,,,,,,,,2967336,0,12,Friday
1137,Robbery,Robbery,Juice WRLD,2019-02-13,USUG11900302,1131,44.7,1306374052,213493,32159591,73.0,606402216,5432558,287303,"40,611,392",281781468,46631449,45,113,198,36,92676,7,63372791,172183,,1815403,1,2,Wednesday
1138,Bebe Dame,Bebe Dame - Single,Fuerza Regida,2022-12-16,QZ9QQ2200182,1132,44.7,562099076,51229,20388246,70.0,11080081,68671,623600,"146,379,790",1746059702,,49,15119,36,18,2487813,17,98549626,29193,,2289240,0,12,Friday
1139,Green Green Grass,george ezra songs to play when the sun's out,George Ezra,2022-03-22,GBARL2200008,1133,44.7,300430813,50552,12812123,69.0,103550086,844925,1664351,"248,347,598",3375488113,2854520083,51,182474,46,29,1067030,27,1947849,12347,2041978,2071865,0,3,Tuesday
1140,Zihaal e Miskin,Zihaal e Miskin,Javed-Mohsin,2023-05-25,INUM72300284,1135,44.7,110644306,4432,3741353,65.0,367432386,4091411,,,,85756632,,546,,,,4,776,12,,184497,0,5,Thursday
1141,Fiel,Los Legendarios 001,Los Legendarios,2021-02-04,QM4TW2136314,1130,44.7,642558596,106151,40485324,64.0,357508658,2089382,1884605,"309,769,907",2853555921,56447780,77,45631,45,24,1535610,30,24779220,8899,,2242149,0,2,Thursday
1142,Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214882,1139,44.6,831868563,93211,21780286,73.0,181498962,1237772,115200,"87,502,749",985066343,21690461,36,30945,391,12,806258,5,23282331,5780,,1247731,0,5,Friday
1143,2002 - Remix,2002 (Remix),Shaun Reynolds,2018-05-11,QZ22B1944940,1136,44.6,303962,88,6796,8.0,,,16501062,"9,430,921",137616390,,,,,,,,,,,260,0,5,Friday
1144,No Se Va,No Se Va,Grupo Frontera,2022-12-01,USDA12211641,1137,44.6,51750,67,3924,,610569249,2662885,,,,41692770,,547,,,,,,,,,0,12,Thursday
1145,Infinity,Feel Something,Jaymes Young,2017-06-23,USAT21700859,1138,44.6,1059940209,169454,48961048,74.0,569314714,6558074,5441674,"1,889,279,204",22241102823,464030450,15,191784,556,46,991994,6,54462943,18444,,8764483,0,6,Friday
1146,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,2021-02-05,USUG12303876,1142,44.5,812954133,137681,53947304,81.0,66369681,851906,564129,"71,837,599",797041217,504465645,147,78013,7,43,1369406,47,2985202,7888,8817729,6377668,1,2,Friday
1147,adore u,adore u,Fred again..,2023-08-11,GBAHS2300908,1141,44.5,129427492,44672,48826452,71.0,10933079,80021,29740,"8,528,307",135983684,82845102,69,43488,3,34,206415,46,801851,219,3403946,663446,0,8,Friday
1148,Numb Little Bug,Numb Little Bug,Em Beihold,2022-01-28,USUM72200626,1143,44.5,360584207,68868,18801509,66.0,41254765,1015183,177123,"69,378,146",667895022,8474222,34,350811,2116,19,22388,37,73893449,39102,,2132903,0,1,Friday
1149,Feel It,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,d4vd,2024-03-28,USUM72401132,1140,44.5,110377644,8980,78939536,,10803398,190363,,"554,400",4211900,21866966,41,6146,44,54,6402152,55,658798,745,,363083,0,3,Thursday
1150,Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,2019-06-13,USUG11901580,1144,44.4,822696809,141261,26970098,68.0,587804570,5432716,806169,"35,719,393",404031807,532691572,184,98937,124,117,1507919,27,131125635,26028,10568592,6782620,0,6,Thursday
1151,Faz um Vuk Vuk (Teto Espelhado),Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,2023-07-20,BX5EU2300034,1145,44.4,222879686,26854,23489333,68.0,183254308,938331,80100,"22,478,680",315723211,23002967,16,1586,,31,3017351,19,2970,8,,130095,1,7,Thursday
1152,Suicidal,Melly vs. Melvin,YNW Melly,2019-11-22,QMCE31902585,1146,44.4,572441305,113061,13801176,67.0,317626075,4533617,4475534,"218,106,950",1659032393,7772461,20,2061,54,4,71838,4,25773932,131617,,2287665,1,11,Friday
1153,"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,2019-02-12,INS181900313,1149,44.3,72849488,9804,2252266,54.0,329389939,2348757,11600000,"10,188,221",246534268,93651376,13,646,,,,3,,,,215757,0,2,Tuesday
1154,Sky,Whole Lotta Red,Playboi Carti,2020-12-25,USUM72024699,1147,44.3,710319373,209136,30701216,74.0,183959519,2671075,154135,"62,458,934",363975031,280367116,31,1582,59,10,187089,14,2766036,16909,,1537393,1,12,Friday
1155,Love On,Love On,Selena Gomez,2024-02-22,USUM72318034,1148,44.3,45878045,3731,26039293,,18082083,515908,,,,2436411201,50,69439,150,58,12329759,45,3662491,523,,350842,0,2,Thursday
1156,Payphone,Overexposed Track By Track,Maroon 5,2012-01-01,USUM71203347,1153,44.2,1828026153,249663,71678167,78.0,1051247406,7080472,93015,"49,072,987",397860038,1568063711,58,83578,135,112,258125,28,667632597,1019888,20102563,11327684,1,1,Sunday
1157,Brickell,MANIFESTING 20-05,Feid,2024-04-10,USUG12402595,1150,44.2,59546208,5064,62237863,79.0,26823878,171145,,,,28104439,32,2379,13,15,3085319,14,1007570,344,16525,259017,1,4,Wednesday
1158,I Like Me Better,I Like Me Better,Lauv,2017-05-19,GBWWP1702907,1152,44.2,1784308411,157818,34910721,75.0,837720618,7077307,573681,"117,065,490",886160801,145737544,92,225675,241,34,251654,24,334762962,97867,,7684583,0,5,Friday
1159,RUNAWAY,RUNAWAY,OneRepublic,2023-05-26,USUM72304684,1154,44.2,127466467,16650,19684494,67.0,13668402,152488,2331,"518,049",9346042,179672192,57,259287,710,43,1138179,12,19337777,2084,,1350255,0,5,Friday
1160,Que Se Cuide,Que Se Cuide,Luis R Conriquez,2024-05-03,QZNJV2414655,1151,44.2,36145614,1566,48637114,77.0,26390813,239853,,,,125856157,3,63,,2,1556280,,1069762,1047,,178962,0,5,Friday
1161,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2019-06-07,AUFXV1900105,1155,44.1,,31705,3101433,,,,12423100,"1,733,925,285",22817879063,,3,,,4,372,,,,,,0,6,Friday
1162,On My Love,On My Love (Sped Up),Zara Larsson,2023-09-12,USSM12306769,1159,44.1,128024416,20826,60798732,7.0,14394570,139320,3966,"507,857",8090936,1176532287,73,129069,77,82,4576277,48,1333245,192,1668042,934544,0,9,Tuesday
1163,She Share Story,She Share Story,Shayne Orok,2020-06-02,QZHN52089091,1156,44.1,,2443,424979,33.0,238798,10479,10715800,"2,844,924,215",33201904006,,,1,,1,3316,,12694,,,,0,6,Tuesday
1164,Mujeriego,Mujeriego - Single,Ryan Castro,2021-12-17,COSO12100328,1158,44.1,285723562,63343,16024245,63.0,316060497,3601489,1645802,"630,242,190",6484877304,43034965,32,17619,715,28,11861287,24,2371513,4437,,3132192,0,12,Friday
1165,Miss The Rage (feat. Playboi Carti),Miss The Rage,Trippie Redd,2021-05-07,QZJ842000983,1160,44.1,535695469,188778,26774987,6.0,171889127,3367746,155446,"113,564,973",1011224005,112767017,58,3186,9,15,112154,1,7839291,15078,,1525672,1,5,Friday
1166,TUTA GOLD,TUTA GOLD,Mahmood,2024-02-07,ITUM72400066,1157,44.1,95029509,5218,9118781,65.0,73263450,405639,,,,965737153,28,19714,,13,3804779,25,,,,279900,0,2,Wednesday
1167,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401030,1161,44.0,161916445,3784,17036800,83.0,13509432,180327,,,,,32,1456,,7,176069,27,2674527,2560,,47529,0,4,Thursday
1168,Dandini Dandini Dastana,"Hey Dostum, ï¿½ï¿",Derya Yildirim,2023-02-10,DEE882214257,1165,44.0,12750,8,137,9.0,520926927,1601560,,,,,,7,,,,,,,,186,0,2,Friday
1169,Florida!!! (feat. Florence + the Machine),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401035,1162,44.0,140177107,3866,16996059,,13707215,189148,18200,"6,292,326",45866138,,19,2111,,3,44338,41,1517277,2475,,68490,1,4,Thursday
1170,Legends,Legends,Juice WRLD,2018-06-22,USUG11801263,1166,44.0,681282854,118639,18809173,63.0,186468599,1849004,36108,"21,004,398",157362351,1460530,16,70,,19,62644,2,51320211,87163,136120053,1025107,1,6,Friday
1171,Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,USUM71603293,1164,44.0,972005229,186174,27470180,69.0,1178473071,9750786,80426,"32,338,631",184153973,189211405,160,37555,108,45,153694,47,372431461,173599,,12673047,1,8,Friday
1172,King Size,Feed Tha Streets III,Roddy Ricch,2022-11-18,USAT22220949,1163,44.0,3248779,3105,291653,33.0,590470795,8815644,113,"7,218",297262,440677355,,28,,,,,179455,70,,,1,11,Friday
1173,Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,USUG12104399,1168,43.9,459480135,137691,22202207,68.0,94845922,710635,97707,"54,238,635",550340528,27126576,77,1996,608,24,203415,46,63766205,182395,,1506723,1,9,Friday
1174,Linger - SiriusXM Session,SiriusXM Session,Royel Otis,2024-05-31,FRX872443806,1171,43.9,8053814,908,11708987,69.0,,,74700,"46,235,180",345797900,,16,,,1,120583,61,207576,91,,,0,5,Friday
1175,SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,2018-09-12,ZZOPM1800452,1167,43.9,1291244134,241882,48328259,29.0,576756813,6989481,976742,"252,216,973",1853292133,140688974,39,1059,116,6,14150,3,18782933,75869,3484302,1785813,1,9,Wednesday
1176,BIPOLAR,BIPOLAR,Peso Pluma,2023-09-07,QMBZ92388584,1169,43.9,222295526,18049,13695569,,110937613,675774,26622,"6,784",83048,164839813,9,1235,4,6,1331099,10,7908175,3651,3807803,872796,1,9,Thursday
1177,Addicted,Addicted (feat. Ink) - Single,Zerb,2024-03-29,NLRD52350359,1170,43.9,63142772,7213,65806267,79.0,320436,6638,7812,"3,088,170",63352002,,23,22016,53,18,586251,44,4517869,457,,512040,1,3,Friday
1178,Besos Moja2,Besos Moja2,Wisin & Yandel,2022-09-29,USSD12200829,1176,43.8,416361102,48450,23910344,69.0,251373932,911711,460773,"158,067,701",1931498021,6946855,42,35473,26,25,555110,47,9511526,888,,739386,0,9,Thursday
1179,Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,2018-09-14,USAT21811087,1173,43.8,996942947,188378,27325666,71.0,614755305,5707814,517615,"50,143,641",424030507,52825959,40,63944,56,31,108234,17,165992311,128939,,6648622,1,9,Friday
1180,El Chico Del Apartamento 512 - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,USUM72402909,1174,43.8,195435575,15,74994,,,,,,,,1,,,1,19628,1,45270647,23206,,,0,3,Friday
1181,Papercut,Papercuts,Linkin Park,2024-04-12,USWB11201315,1177,43.8,497285757,130,484758,,,,,,,,,,,,,,,,,,0,4,Friday
1182,Chanel,Chanel,Becky G,2023-03-30,USRC12300804,1175,43.8,287853890,21244,8675975,65.0,267142398,1552179,98312,"44,289,816",550080768,411799517,31,1280,65,12,378233,20,32344279,4466,,546765,0,3,Thursday
1183,Otro Trago,Sueï¿½ï,Sech,2019-04-18,QM9WM1900120,1172,43.8,693061510,73605,21529712,63.0,1315371330,9042596,263379,"6,844,512",81046643,278722746,56,11331,30,9,344693,38,80895090,47467,,3179632,1,4,Thursday
1184,Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),Pooh Shiesty,2020-11-06,USAT22007048,1180,43.7,378239461,126894,19992900,62.0,477876565,3072709,95993,"30,522,237",230352883,232331604,72,96321,198,4,56079,17,82609483,36243,,1280704,1,11,Friday
1185,Jugaste y Sufrï¿,Corta Venas,Eslabon Armado,2020-12-18,USE7D2000268,1182,43.7,492509763,83013,10228918,70.0,420395103,3706590,144000,"92,852,948",624633508,3613322,17,244,,2,156,13,21099906,32737,33569805,2849462,0,12,Friday
1186,Una Foto Remix (feat. Emilia),Una Foto Remix (feat. Emilia),Mesita,2024-01-05,UYS642300003,1181,43.7,206001461,15932,35397476,78.0,45907269,307741,,"998,400",13500000,,14,11512,,26,552100,21,148059,331,,394118,0,1,Friday
1187,Religiously,Religiously,Bailey Zimmerman,2023-03-17,USWB12300537,1178,43.7,225556005,25164,10017767,73.0,23904394,111346,73524,"5,688,685",56949752,243552012,28,154327,117,2,644,17,92243007,13325,2899190,594487,0,3,Friday
1188,What Happened To Virgil (feat. Gunna),7220,Lil Durk,2022-03-11,USQX92200954,1179,43.7,144889291,63045,7698742,59.0,98375891,844144,96486,"68,284,710",515213856,65793712,31,131447,726,3,245510,13,20715332,10912,27110567,1047166,1,3,Friday
1189,Hello,Hello,Adele,2015-10-23,GBBKS1500214,1186,43.6,1550553401,140637,42531792,68.0,347935820,3794833,209908,"68,479,244",707793848,1006781,288,52436,119,166,496477,40,919585690,959806,,11659524,0,10,Friday
1190,HAY LUPITA,HAY LUPITA - Single,Lomiiel,2024-03-28,QZHNA2429530,1187,43.6,22692011,1996,19217759,71.0,51510163,439315,6538,"9,803,472",84927420,5782251,13,1909,,4,492038,,125762,1408,,516845,0,3,Thursday
1191,Gatita,Gatita,Bellakath,2022-10-05,QZPLR2286558,1184,43.6,218661601,25714,8048259,57.0,173995566,1354818,1961387,"191,009,331",2353588008,324051,8,13477,600,3,154370,24,4469095,7776,38842,873692,0,10,Wednesday
1192,World on Fire,NATE SMITH (DELUXE),Nate Smith,2023-04-28,USRN12300006,1183,43.6,100360956,15383,9521311,69.0,12196961,98714,45372,"6,096,788",57109846,,19,242951,37,6,23353,17,66436990,4806,,415236,0,4,Friday
1193,Love You Anyway,Love You Anyway,Luke Combs,2023-02-10,US6XF2100158,1185,43.6,164507374,29896,7920265,67.0,47201934,291689,127315,"21,357,285",220946119,389278042,20,146916,4,2,592,23,124948868,11423,,624045,0,2,Friday
1194,MOJABI GHOST,DATA,Tainy,2023-06-29,USA2P2331985,1188,43.5,368429447,46625,20677828,75.0,74049864,676666,3207,"955,307",6911099,638649904,52,4683,49,11,847361,10,6221683,1262,,715485,1,6,Thursday
1195,N95,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208963,1194,43.4,426936498,118020,24734503,74.0,124386115,2134071,34724,"16,024,927",186922543,1303000868,48,13141,122,21,357536,45,8689010,3163,,1452569,1,5,Friday
1196,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208792,1191,43.4,325654069,108296,18764224,71.0,21886334,217873,,3,19,7326120,15,311,,4,73801,6,2079133,1461,,660445,1,12,Friday
1197,Volvï¿,La mï¿½ï¿½sica de @Gina Yei: #ConTodoElCorazï¿½ï¿½nYMï¿½ï¿½s (Banda Sono,Didi Romero,2023-01-11,QZTJ32100010,1192,43.4,47586,60,2805,,543509003,3372617,,,,560891372,,,,,,,,,,136,0,1,Wednesday
1198,You're Really Funny,Rly Funny - EP,Crocodyle,2022-11-11,QMEU32216759,1190,43.4,,9,31,,631421040,3549192,,,,,,6,,,,,,,,45,0,11,Friday
1199,Papercut,Papercuts,Linkin Park,2024-04-12,USWB12401897,1193,43.4,497285757,4,466,,,,,,,,,,,,,,,,476,,0,4,Friday
1200,Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,2015-02-10,USUG11500923,1195,43.4,1667089416,97707,24754802,69.0,955666073,8354260,331766,"121,101,434",1048617583,203635578,26,,91,11,278161,20,1063784773,693592,13875776,,1,2,Tuesday
1201,Gucci Gang,Gucci Gang,Lil Pump,2017-08-31,USWB11701486,1189,43.4,648757330,66961,13429975,55.0,1402505864,15657910,1404568,"27,119,678",243585831,200186337,62,13516,6,20,52013,5,79188658,496624,,2724063,1,8,Thursday
1202,La Bebe,LPM,Yng Lvcas,2021-12-24,QZTAT2174000,1198,43.3,255707376,35404,4489095,64.0,132383657,926647,3955024,"237,343,814",3229349729,,4,3835,44,,,2,1505248,8802,,1296219,1,12,Friday
1203,Jaded,Endless Summer Vacation,Miley Cyrus,2023-03-10,USSM12209778,1197,43.3,173349210,22117,9481406,65.0,69971780,926126,12719,"7,349,390",120314198,24140873,40,225522,416,41,782200,20,56973358,6891,,,1,3,Friday
1204,Bye,Bye,Peso Pluma,2023-05-26,QM6P42321186,1196,43.3,252239644,24974,6379185,65.0,157154307,1031138,408410,"96,001,756",1121997176,,35,692,,3,132211,11,18131311,9970,,415733,1,5,Friday
1205,L$d,Deaf 2 Society,Luclover,2022-04-22,QZHN42243265,1199,43.3,34621941,15846,2877860,36.0,4019929,89953,5003856,"589,943,665",5720070197,86746342,1,261,734,2,25486,3,250124,597,,539017,1,4,Friday
1206,Wolves,Wolves,Selena Gomez,2017-10-25,USUM71712103,1200,43.3,1358424406,123735,33188573,71.0,930929767,8736302,961584,"29,990,673",253791542,360395375,116,104652,14,53,382928,33,172588260,120004,17138164,7290982,0,10,Wednesday
1207,Scars To Your Beautiful,Know-It-All,Alessia Cara,2015-11-13,USUM71506811,1201,43.2,1422563654,129568,38951634,71.0,710718042,9930759,4732710,"104,484,107",736544909,461321746,138,171774,288,39,217966,26,462206026,174621,19565726,113684,0,11,Friday
1208,FRI(END)S,FRI(END)S,V,2024-03-15,USA2P2411822,1203,43.2,196612187,3800,44868049,85.0,38102046,2794580,,"2,941",26700,119265847,16,5014,95,33,11190250,11,1934224,135,,226475,0,3,Friday
1209,Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,2021-11-19,USWD12112914,1204,43.2,318018082,41062,14552186,65.0,580242930,3471774,103897,"128,850,291",1100134488,67010140,35,2041,155,1,10044,18,49383663,66811,2375505,466130,0,11,Friday
1210,Volver Al Futuro,Volver Al Futuro,Oscar Maydon,2024-05-30,QZ9QQ2400330,1202,43.2,25593926,1247,63521139,78.0,7493616,162691,,,,,18,,,10,1604245,9,68326,56,1742,33433,0,5,Thursday
1211,Praise God,Donda,Kanye West,2021-08-29,USUM72116287,1208,43.1,451323154,143071,22968843,67.0,75632640,1192980,1232812,"540,795,852",4707280248,144247309,24,1395,182,10,38020,25,14923065,9847,,3075257,0,8,Sunday
1212,Friesenjung,Friesenjung,Ski Aggu,2023-05-25,DE1FB2300037,1205,43.1,150508549,70377,9755773,70.0,31956891,485999,,,,54635920,24,5723,,12,67068,4,,,,703536,1,5,Thursday
1213,El Azul,El Azul - Single,Junior H,2023-02-10,QZ9QQ2300115,1206,43.1,684103586,42304,22784674,76.0,125144381,583066,433800,"68,202,730",622470844,445229053,37,112,2,4,1164409,9,10305981,2327,,764296,0,2,Friday
1214,EARFQUAKE,IGOR,"Tyler, The Creator",2019-05-17,USQX91901111,1207,43.1,962546385,198786,34308753,76.0,262134097,4025958,55093,"46,126,757",247993418,14944702,106,1834,1,52,709963,38,10998403,48358,47720548,1242490,1,5,Friday
1215,Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,2021-08-13,QZDQH2148787,1210,43.0,347218974,34933,16279085,57.0,662346628,2983631,163723,"31,953,097",394751759,59180203,23,9924,312,2,6546,38,76029663,61601,,1337426,0,8,Friday
1216,if u think i'm pretty,if u think i'm pretty,Artemas,2023-10-24,QZTB92397158,1212,43.0,219995278,26538,17112526,78.0,25556375,392029,277500,"83,793,501",561266399,17454770,18,1072,42,12,129691,10,284934,750,,757462,1,10,Tuesday
1217,Fin de Semana,Fin de Semana,Oscar Maydon,2023-01-13,QZ9QQ2300040,1211,43.0,568846143,38126,18723665,76.0,209204080,876672,4469,"2,225,214",19351144,,25,275,,4,1270150,8,26957938,5256,2173263,896673,0,1,Friday
1218,Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,2023-12-07,USUM72318678,1209,43.0,114947522,1384,280996,,,,,,,,10,172988,,,,,,,,,0,12,Thursday
1219,Every Breath You Take,Learned from Love,Bonnie Kimmel,2017-05-26,ES8481701126,1215,42.9,,,,,,,,,,,,,,,,,,,,171902000,0,5,Friday
